,R-code,I-index,I-name,I-capacity,I-code,I-type,I-title,I-count
0,1,1,쌀,4컵,3060001,주재료,쌀,17
1,1,2,안심,200g,3060001,주재료,,17
2,1,3,콩나물,20g,3060001,주재료,콩나물,17
3,1,4,청포묵,1/2모,3060001,주재료,,17
4,1,5,미나리,20g,3060001,주재료,,17
5,1,6,소금,약간,3060003,양념,,17
6,1,7,국간장,약간,3060003,양념,,17
7,1,8,다진파,약간,3060003,양념,파,17
8,1,9,다진마늘,약간,3060003,양념,마늘,17
9,1,10,참기름,약간,3060003,양념,,17
10,1,11,고추장,1/2큰술,3060002,부재료,고추장,17
11,1,12,설탕,약간,3060003,양념,,17
12,1,13,숙주,20g,3060001,주재료,콩나물,17
13,1,14,도라지,20g,3060001,주재료,,17
14,1,15,고사리,20g,3060001,주재료,,17
15,1,16,계란,1개,3060001,주재료,계란,17
16,1,17,양지머리,100g,3060002,부재료,,17
17,2,18,멥쌀,1컵,3060001,주재료,,7
18,2,19,찹쌀,2컵,3060001,주재료,,7
19,2,20,수수,1컵,3060002,부재료,,7
20,2,21,차조,1컵,3060002,부재료,,7
21,2,22,콩,1/2컵,3060002,부재료,콩,7
22,2,23,팥,1/2컵,3060002,부재료,팥,7
23,2,24,소금,약간,3060003,양념,,7
24,3,25,당면,50g,3060001,주재료,당면,15
25,3,26,돼지고기,100g,3060001,주재료,돼지고기,15
26,3,27,표고버섯,2장,3060001,주재료,버섯,15
27,3,28,호박,1/4개,3060002,부재료,호박,15
28,3,29,당근,1/2개,3060002,부재료,당근,15
29,3,30,부추,30g,3060001,주재료,,15
30,3,31,청고추,약간,3060002,부재료,고추,15
31,3,32,홍고추,약간,3060002,부재료,고추,15
32,3,33,다진파,2큰술,3060003,양념,파,15
33,3,34,다진마늘,1큰술,3060003,양념,마늘,15
34,3,35,진간장,4큰술,3060003,양념,,15
35,3,36,참기름,1큰술,3060003,양념,,15
36,3,37,소금,약간,3060003,양념,,15
37,3,38,밥,3공기,3060002,부재료,쌀,15
38,3,39,통후추,약간,3060003,양념,,15
39,4,40,쌀,2컵,3060001,주재료,쌀,11
40,4,41,콩나물,300g,3060001,주재료,콩나물,11
41,4,42,쇠고기,100g,3060001,주재료,소고기,11
42,4,43,파,1/2개,3060003,양념,파,11
43,4,44,마늘,2쪽,3060003,양념,마늘,11
44,4,45,참기름,1큰술,3060003,양념,,11
45,4,46,깨소금,1큰술,3060003,양념,,11
46,4,47,고춧가루,조금,3060003,양념,,11
47,4,48,진간장,4큰술,3060003,양념,,11
48,4,49,소금,약간,3060003,양념,,11
49,4,50,통후추,약간,3060003,양념,,11
50,5,51,찹쌀,3컵,3060001,주재료,,11
51,5,52,흑설탕,1컵,3060003,양념,,11
52,5,53,계핏가루,1/2큰술,3060003,양념,,11
53,5,54,깐밤,200g,3060002,부재료,,11
54,5,55,대추,50g,3060002,부재료,,11
55,5,56,잣,1큰술,3060002,부재료,,11
56,5,57,물엿,적당량,3060003,양념,,11
57,5,58,식물성기름,3큰술,3060003,양념,,11
58,5,59,흰설탕,1컵,3060003,양념,,11
59,5,60,간장,1/3컵,3060003,양념,,11
60,5,61,물,4컵,3060003,양념,,11
61,6,62,청동호박,1/2개,3060001,주재료,,6
62,6,63,팥,1컵,3060002,부재료,팥,6
63,6,64,찹쌀,2컵,3060001,주재료,,6
64,6,65,물,10컵,3060003,양념,,6
65,6,66,설탕,약간,3060003,양념,,6
66,6,67,소금,약간,3060003,양념,,6
67,7,68,쌀,1컵,3060001,주재료,쌀,5
68,7,69,흑임자,1/2컵,3060001,주재료,,5
69,7,70,물,6컵,3060003,양념,,5
70,7,71,소금,약간,3060003,양념,,5
71,7,72,설탕,약간,3060003,양념,,5
72,8,73,쇠고기,200g,3060002,부재료,소고기,10
73,8,74,감자,2개,3060002,부재료,감자,10
74,8,75,양파,1개,3060002,부재료,양파,10
75,8,76,당근,1/2개,3060002,부재료,당근,10
76,8,77,완두콩,4큰술,3060002,부재료,콩,10
77,8,78,카레,70g,3060001,주재료,카레,10
78,8,79,우유,1/2컵,3060003,양념,,10
79,8,80,밥,4공기,3060001,주재료,쌀,10
80,8,81,소금,약간,3060003,양념,,10
81,8,82,통후추,약간,3060003,양념,,10
82,9,83,계란,3개,3060001,주재료,계란,14
83,9,84,양파,1/4개,3060002,부재료,양파,14
84,9,85,물,3컵,3060003,양념,,14
85,9,86,당근,1/3개,3060002,부재료,당근,14
86,9,87,쌈장,3큰술,3060003,양념,,14
87,9,88,후춧가루,약간,3060003,양념,,14
88,9,89,소금,약간,3060003,양념,,14
89,9,90,밥,2공기,3060001,주재료,쌀,14
90,9,91,청피망,1/2개,3060002,부재료,,14
91,9,92,홍피망,1/2개,3060002,부재료,,14
92,9,93,오이,1/3개,3060002,부재료,오이,14
93,9,94,전분,약간,3060002,부재료,,14
94,9,95,멸치,한 줌,3060003,양념,,14
95,9,96,다시마,1장,3060003,양념,,14
96,10,97,밀가루,4컵,3060001,주재료,밀가루,11
97,10,98,감자,2개,3060001,주재료,감자,11
98,10,99,애호박,1/2개,3060002,부재료,호박,11
99,10,100,멸치,10마리,3060003,양념,,11
100,10,101,실파,2뿌리,3060002,부재료,파,11
101,10,102,홍고추,1개,3060002,부재료,고추,11
102,10,103,물,1컵,3060003,양념,,11
103,10,104,양념장,적당량,3060003,양념,,11
104,10,105,국간장,약간,3060003,양념,,11
105,10,106,참기름,약간,3060003,양념,,11
106,10,107,소금,약간,3060003,양념,,11
107,11,108,냉면,400g,3060001,주재료,,11
108,11,109,쇠고기,300g,3060002,부재료,소고기,11
109,11,110,동치미국물,1개,3060001,주재료,,11
110,11,111,오이,1개,3060002,부재료,오이,11
111,11,112,배,1개,3060002,부재료,,11
112,11,113,계란,2개,3060002,부재료,계란,11
113,11,114,식초,2큰술,3060003,양념,,11
114,11,115,설탕,1큰술,3060003,양념,,11
115,11,116,소금,약간,3060003,양념,,11
116,11,117,쇠고기육수,4컵,3060001,주재료,,11
117,11,118,동치미무,1개,3060002,부재료,,11
118,12,119,국수,400g,3060001,주재료,국수,12
119,12,120,쇠고기,100g,3060001,주재료,소고기,12
120,12,121,동치미무,1/4개,3060001,주재료,,12
121,12,122,계란,1개,3060002,부재료,계란,12
122,12,123,홍고추,1개,3060002,부재료,고추,12
123,12,124,소금,약간,3060003,양념,,12
124,12,125,깨소금,약간,3060003,양념,,12
125,12,126,참기름,1/2큰술,3060003,양념,,12
126,12,127,동치미국물,8컵,3060002,부재료,,12
127,12,128,간장,1큰술,3060003,양념,,12
128,12,129,설탕,1/4작은술,3060003,양념,,12
129,12,130,통후추,약간,3060003,양념,,12
130,13,131,열무,1/2단,3060001,주재료,,13
131,13,132,찹쌀가루,2큰술,3060003,양념,,13
132,13,133,냉면,500g,3060001,주재료,,13
133,13,134,홍고추,1개,3060002,부재료,고추,13
134,13,135,청고추,1개,3060002,부재료,고추,13
135,13,136,대파,약간,3060002,부재료,파,13
136,13,137,다진마늘,1작은술,3060003,양념,마늘,13
137,13,138,다진생강,1/2작은술,3060003,양념,,13
138,13,139,고춧가루,4큰술,3060003,양념,,13
139,13,140,식초,4큰술,3060003,양념,,13
140,13,141,설탕,4큰술,3060003,양념,,13
141,13,142,겨자,약간,3060003,양념,,13
142,13,143,물,1컵,3060003,양념,,13
143,14,144,국수,200g,3060001,주재료,국수,9
144,14,145,표고버섯,3장,3060001,주재료,버섯,9
145,14,146,오이,1/2개,3060001,주재료,오이,9
